luogo;record_autorità;conteggio;nav_link
Italia;http://vocab.getty.edu/page/tgn/1000080;3;#
Roma;http://vocab.getty.edu/page/tgn/7000874;3;#
Unione delle Repubbliche Socialiste Sovietiche;http://vocab.getty.edu/page/tgn/6006211;1;#
Russia;http://vocab.getty.edu/page/tgn/7002435;1;#
Mosca;http://vocab.getty.edu/page/tgn/7012974;1;#
Stati Uniti d'America;http://vocab.getty.edu/page/tgn/7012149;1;#
Trieste;http://vocab.getty.edu/page/tgn/7005539;1;#
Messina;http://vocab.getty.edu/page/tgn/7003897;1;#
Agrigento;http://vocab.getty.edu/page/tgn/7003808;1;#
Ragusa;http://vocab.getty.edu/page/tgn/7003788;1;#
Enna;http://vocab.getty.edu/page/tgn/7003916;1;#
Caltanisetta;http://vocab.getty.edu/page/tgn/7003806;1;#
Trapani;http://vocab.getty.edu/page/tgn/7003849;1;#
Siracusa;http://vocab.getty.edu/page/tgn/7003794;1;#
Marsala;http://vocab.getty.edu/page/tgn/7003850;1;#
Palermo;http://vocab.getty.edu/page/tgn/7003928;1;#
Alto Adige;http://vocab.getty.edu/page/tgn/7030436;1;#
Merano;http://vocab.getty.edu/page/tgn/7005432;1;#
Bressanone;http://vocab.getty.edu/page/tgn/7005433;1;#
Laives;http://vocab.getty.edu/page/tgn/7010001;1;#
Campania;http://vocab.getty.edu/page/tgn/7003005;1;#
Puglia;http://vocab.getty.edu/page/tgn/7010380;1;#
Abruzzo;http://vocab.getty.edu/page/tgn/7009084;1;#
Basilicata;http://vocab.getty.edu/page/tgn/7004610;1;#
Rieti;http://vocab.getty.edu/page/tgn/7006739;1;#
Terni;http://vocab.getty.edu/page/tgn/7005123;1;#
Ciociaria;http://vocab.getty.edu/page/tgn/1111943;1;#
Sardegna;http://vocab.getty.edu/page/tgn/7003121;1;#
Calabria;http://vocab.getty.edu/page/tgn/7007850;1;#
Ferrara;http://vocab.getty.edu/page/tgn/7046682;1;#
Monza;http://vocab.getty.edu/page/tgn/7006006;1;#
Francia;http://vocab.getty.edu/page/tgn/1000070;1;#
